study_id,BLEU-4,ROUGE-L,BERTScore,RadGraph F1,CheXbert F1,GREEN
216840111366964012819207061112010316094555679_04-017-068.png,0.004503778123700044,0.04444444444444444,,,,
216840111366964012373310883942009181081546904_00-027-172.png,0.0,0.04347826086956522,,,,
126397712012687540784611673197697059691_fp0cu9.png,0.0,0.0,,,,
216840111366964013307756408102012093111819763_01-114-013.png,0.0,0.0,,,,
216840111366964012558082906712010004133151165_00-119-134.png,0.0,0.0,,,,
216840111366964013340662495472012111130929144_01-108-133.png,0.006244385951234721,0.04761904761904761,,,,
216840111366964013217898866992011329134906098_01-027-105.png,0.0,0.0,,,,
216840111366964013293097335992012048173805692_01-094-011.png,0.0,0.0,,,,
216840111366964013451228379692012257110540618_02-006-005.png,0.004089349842971759,0.0425531914893617,,,,
46523715740384360192496023767246369337_veyewt.png,0.0,0.0,,,,
216840111366964012373310883942009084123158919_00-069-064.png,0.0,0.0,,,,
255433269247415893224655601475580025849_j5s1kc.png,0.0033879673215127786,0.03278688524590164,,,,
216840111366964013217898866992011349123010433_01-006-043.png,0.0,0.0,,,,
216840111366964013200840352202011315131143616_01-032-099.png,0.0,0.0,,,,
216840111366964013076187734852011291090122566_00-195-189.png,0.0,0.0,,,,
216840111366964012948363412702011013123142008_00-125-030.png,0.0,0.0,,,,
216840111366964013829543166512013358092118761_02-089-145.png,0.008687475782716616,0.07407407407407407,,,,
329608354535639464795481936214199434429_kzcyhb.png,0.0,0.0,,,,
317759408657031098460852906419716899073_2rq56f.png,0.0,0.0,,,,
101103270798497222826083823719046670601_jw1fu2.png,0.0022053333235944393,0.05333333333333333,,,,
216840111366964013451228379692012269104148390_01-054-004.png,0.0,0.0,,,,
216840111366964013395900950222012171101555757_01-139-142.png,0.0,0.037735849056603765,,,,
216840111366964014008416513202014153161516671_01-196-149.png,0.0,0.0,,,,
216840111366964013515091760022012318080539431_01-152-111.png,0.0,0.0,,,,
